Museum,CatNum,Genus,Species,Sex
MV,C20261,Rat,nor,Female
MV,C7338,Rat,nor,Female
MV,C29709,Rat,nor,Male
MV,C33155,Rat,nor,Male
MV,C6982,Uro,cau,Female
MV,C6983,Uro,cau,Female
MV,C6984,Uro,cau,Male
QM,J10055,Hyd,chr,Female
QM,J16824,Hyd,chr,Female
QM,J9835,Hyd,chr,Female
QM,J9944,Hyd,chr,Female
QM,J21273,Hyd,chr,Female
QM,J10127,Hyd,chr,Male
QM,J11137,Hyd,chr,Male
QM,J15330,Hyd,chr,Male
QM,J17593,Hyd,chr,Male
QM,J7889,Hyd,chr,Male
QM,JM11585,Leg,for,Female
QM,JM19648,Leg,for,Female
QM,JM3736,Leg,for,Female
QM,J14755,Leg,for,Male
QM,JM12328,Leg,for,Male
QM,JM10913,Leg,for,Unknown
QM,JM14441,Leg,for,Unknown
QM,JM14820,Leg,for,Unknown
QM,JM4955,Leg,for,Unknown
QM,J19997,Mel,bur,Female
QM,J4808,Mel,bur,Female
QM,J9801,Mel,bur,Female
QM,JM13946,Mel,bur,Female
QM,JM15015,Mel,bur,Female
QM,J10822,Mel,bur,Male
QM,J17693,Mel,bur,Male
QM,J9476,Mel,bur,Male
QM,JM1301,Mel,bur,Male
QM,JM3839,Mel,bur,Male
QM,JM13959,Mel,cap,Female
QM,JM13964,Mel,cap,Unknown
QM,JM4224,Mel,cap,Unknown
QM,JM4231,Mel,cap,Unknown
QM,JM4233,Mel,cap,Unknown
QM,JM4236,Mel,cap,Unknown
QM,J22537,Mel,cer,Female
QM,J3676,Mel,cer,Female
QM,J8956,Mel,cer,Female
QM,JM10991,Mel,cer,Female
QM,J22096,Mel,cer,Male
QM,J3675,Mel,cer,Male
QM,J6502,Mel,cer,Male
QM,J8960,Mel,cer,Male
QM,JM6185,Mel,cer,Male
QM,J19719,Mes,gou,Female
QM,J16976,Mes,gou,Male
QM,J19720,Mes,gou,Male
QM,JM20901,Mes,gou,Unknown
QM,J2562,Mes,gou,Unknown
QM,J3078,Mus,mus,Female
QM,J2993,Mus,mus,Female
QM,J16129,Mus,mus,Male
QM,J9161,Mus,mus,Male
QM,JM1272,Mus,mus,Male
QM,J13566,Mus,mus,Male
QM,J16141,Mus,mus,Male
QM,J16150,Mus,mus,Male
QM,J3105,Mus,mus,Unknown
QM,JM1027,Mus,mus,Unknown
QM,J14754,Not,ale,Male
QM,J10775,Not,fus,Male
QM,J3351,Not,mit,Male
QM,JM14683,Pog,mol,Female
QM,JM10071,Pog,mol,Male
QM,JM10590,Pog,mol,Male
QM,JM8501,Pog,mol,Male
QM,JM8841,Pog,mol,Male
QM,JM11502,Pse,del,Female
QM,JM12690,Pse,del,Female
QM,JM12695,Pse,del,Female
QM,JM12708,Pse,del,Female
QM,JM18715,Pse,del,Female
QM,JM11350,Pse,del,Male
QM,JM19635,Pse,del,Male
QM,JM2133,Pse,del,Male
QM,JM8828,Pse,des,Female
QM,JM14592,Pse,des,Male
QM,JM4953,Pse,des,Male
QM,JM15791,Pse,gra,Female
QM,JM11213,Pse,gra,Male
QM,JM14420,Pse,gra,Male
QM,JM11182,Pse,gra,Male
QM,JM19872,Pse,gra,Unknown
QM,JM14849,Pse,gra,Unknown
QM,JM1289,Pse,her,Female
QM,JM2509,Pse,her,Female
QM,JM5019,Pse,her,Female
QM,J16683,Pse,her,Male
QM,JM14455,Pse,nov,Female
QM,J17920,Pse,nov,Male
QM,JM14454,Pse,nov,Male
QM,J20264,Pse,ora,Female
QM,JM13548,Pse,ora,Unknown
QM,JM13549,Pse,ora,Unknown
QM,JM11008,Pse,pat,Female
QM,JM11940,Pse,pat,Female
QM,JM8654,Pse,pat,Female
QM,JM10864,Pse,pat,Male
QM,JM10865,Pse,pat,Male
QM,JM12674,Pse,pat,Male
QM,JM8830,Pse,pat,Male
QM,JM12363,Pse,pat,Male
QM,JM15010,Pse,pat,Unknown
QM,J3488,Pse,sho,Male
QM,J11226,Rat,fus,Female
QM,J12672,Rat,fus,Female
QM,J19105,Rat,fus,Female
QM,JM12469,Rat,fus,Female
QM,J10939,Rat,fus,Male
QM,J3681,Rat,fus,Male
QM,J9687,Rat,fus,Male
QM,JM11916,Rat,fus,Male
QM,JM15739,Rat,fus,Male
QM,J10136,Rat,leu,Female
QM,J8280,Rat,leu,Female
QM,JM172014,Rat,leu,Female
QM,JM2127,Rat,leu,Female
QM,J10139,Rat,leu,Male
QM,J10197,Rat,leu,Male
QM,JM11803,Rat,leu,Male
QM,JM17301,Rat,leu,Male
QM,JM1768,Rat,leu,Male
QM,J16918,Rat,lut,Female
QM,J22555,Rat,lut,Female
QM,J22595,Rat,lut,Female
QM,J8922,Rat,lut,Female
QM,J20340,Rat,lut,Male
QM,J22819,Rat,lut,Male
QM,J22885,Rat,lut,Male
QM,JM14757,Rat,lut,Male
QM,J22598,Rat,lut,Male
QM,J11439,Rat,nor,Female
QM,J17925,Rat,nor,Female
QM,J10052,Rat,nor,Male
QM,J17540,Rat,nor,Male
QM,J17927,Rat,nor,Male
QM,J10961,Rat,rat,Female
QM,J20163,Rat,rat,Female
QM,J3326,Rat,rat,Female
QM,J4085,Rat,rat,Female
QM,J16172,Rat,rat,Male
QM,J17793,Rat,rat,Male
QM,J17798,Rat,rat,Male
QM,J17923,Rat,rat,Male
QM,J6275,Rat,rat,Male
QM,J17959,Rat,sor,Female
QM,J22871,Rat,sor,Female
QM,J3836,Rat,sor,Female
QM,J8929,Rat,sor,Female
QM,J17955,Rat,sor,Male
QM,J20409,Rat,sor,Male
QM,J9172,Rat,sor,Male
QM,JM1313,Rat,sor,Male
QM,JM9078,Rat,sor,Male
QM,J16895,Rat,tun,Female
QM,J22604,Rat,tun,Female
QM,J9206,Rat,tun,Female
QM,J9786,Rat,tun,Female
QM,J22095,Rat,tun,Male
QM,J22099,Rat,tun,Male
QM,J9566,Rat,tun,Male
QM,J9571,Rat,tun,Male
QM,JM12504,Rat,tun,Male
QM,J16963,Rat,vil,Female
QM,J16964,Rat,vil,Female
QM,J20160,Rat,vil,Female
QM,J22613,Rat,vil,Female
QM,J9162,Rat,vil,Female
QM,J16967,Rat,vil,Male
QM,J19057,Rat,vil,Male
QM,J6719,Rat,vil,Male
QM,J6721,Rat,vil,Male
QM,J9682,Rat,vil,Male
QM,J22538,Uro,cau,Female
QM,JM2344,Uro,cau,Female
QM,J22607,Uro,cau,Female
QM,J11512,Uro,cau,Male
QM,J20347,Uro,cau,Male
QM,J9304,Uro,cau,Male
QM,JM4924,Xer,myo,Female
QM,JM2708,Xer,myo,Male
QM,J22399,Zyz,arg,Female
QM,JM12723,Zyz,arg,Female
QM,J22398,Zyz,arg,Male
QM,J22401,Zyz,arg,Male
QM,JM14576,Zyz,arg,Unknown
QM,JM14578,Zyz,arg,Unknown
SAM,M1796,Con,pen,Male
SAM,M4071,Con,pen,Male
SAM,M392,Con,pen,Unknown
SAM,M11646,Pse,apo,Female
SAM,M13666,Pse,apo,Male
SAM,M3468,Pse,apo,Unknown
SAM,M4379,Zyz,ped,Female
SAM,M2412,Zyz,ped,Unknown
